"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	603667","2025-11-20","CN","左侧","70.0","41.0","57.57","0.4041","是"
"","","","","","","","",""
"	603933","2025-09-30","CN","右侧","90.0","17.51","24.63","0.4066","是"
"	603933","2025-11-14","CN","左侧","70.0","19.76","32.55","0.6473","是"
"	603933","2026-02-11","CN","左侧","70.0","23.2","23.67","0.0203","否"
"","","","","","","","",""
"	603979","2026-02-12","CN","左侧","70.0","75.03","79.49","0.0594","否"
"","","","","","","","",""
"	688066","2025-06-06","CN","左侧","75.0","18.1","19.8","0.0939","否"
"	688066","2025-10-23","CN","左侧","70.0","35.7","36.16","0.0129","否"
"","","","","","","","",""
"	688114","2025-04-23","CN","左侧","70.0","78.84","86.5","0.0972","否"
"	688114","2025-05-27","CN","左侧","90.0","72.7","72.76","0.0008","否"
"	688114","2025-07-17","CN","右侧","75.0","66.9","73.8","0.1031","是"
"	688114","2025-09-08","CN","右侧","75.0","71.63","75.08","0.0482","否"
"	688114","2025-10-22","CN","左侧","90.0","68.58","70.9","0.0338","否"
"	688114","2025-12-12","CN","右侧","85.0","64.18","82.88","0.2914","是"
"	688114","2026-01-16","CN","右侧","90.0","67.26","71.45","0.0623","否"
"","","","","","","","",""
"	688256","2025-06-25","CN","右侧","75.0","611.0","718.0","0.1751","是"
"	688256","2026-01-08","CN","右侧","100.0","1419.99","1550.0","0.0916","否"
"	688256","2026-03-16","CN","左侧","70.0","1083.24","1088.0","0.0044","否"
"","","","","","","","",""
"	688291","2025-09-16","CN","左侧","70.0","35.87","38.75","0.0803","否"
"	688291","2026-02-03","CN","左侧","70.0","46.99","55.5","0.1811","是"
"","","","","","","","",""
"	688498","2025-12-02","CN","左侧","90.0","530.0","728.0","0.3736","是"
"","","","","","","","",""
"	688795","2026-01-22","CN","左侧","75.0","623.9","625.6","0.0027","否"
"","","","","","","","",""
"	688981","2025-04-18","CN","左侧","70.0","91.34","91.75","0.0045","否"
"	688981","2025-06-23","CN","右侧","85.0","84.25","93.68","0.1119","是"
"	688981","2025-07-31","CN","右侧","90.0","89.2","119.22","0.3365","是"
"	688981","2026-01-28","CN","右侧","75.0","127.6","127.81","0.0016","否"
"","","","","","","","",""
"	920263","2025-04-01","CN","左侧","90.0","12.24","14.9","0.2173","是"
"	920263","2025-07-08","CN","左侧","70.0","14.62","18.0","0.2312","是"
"	920263","2025-09-12","CN","左侧","70.0","16.1","16.53","0.0267","否"
"	920263","2025-11-04","CN","左侧","70.0","14.45","14.96","0.0353","否"
"	920263","2026-02-02","CN","左侧","70.0","12.9","14.48","0.1225","是"
"","","","","","","","",""
"	00700","2025-07-15","HK","右侧","75.0","520.0","572.0","0.1","是"
"	00700","2026-01-05","HK","右侧","75.0","627.0","639.0","0.0191","否"
"	00700","2026-03-12","HK","右侧","75.0","551.0","566.0","0.0272","否"
"","","","","","","","",""
"	00981","2025-04-22","HK","左侧","70.0","47.4","48.3","0.019","否"
"	00981","2025-11-11","HK","左侧","75.0","72.5","77.25","0.0655","否"
"","","","","","","","",""
"	01810","2025-06-02","HK","左侧","70.0","52.2","61.45","0.1772","是"
"	01810","2025-12-24","HK","左侧","90.0","39.1","40.6","0.0384","否"
"	01810","2026-03-16","HK","左侧","70.0","35.4","37.18","0.0503","否"
"","","","","","","","",""
"	02269","2025-06-25","HK","左侧","70.0","25.5","30.15","0.1824","是"
"	02269","2025-12-30","HK","左侧","70.0","32.32","44.0","0.3614","是"
"","","","","","","","",""
"	02565","2025-10-17","HK","左侧","70.0","52.2","72.75","0.3937","是"
"	02565","2025-12-22","HK","左侧","70.0","63.5","76.25","0.2008","是"
"","","","","","","","",""
"	02899","2025-05-19","HK","左侧","70.0","17.38","20.7","0.191","是"
"	02899","2025-11-14","HK","左侧","70.0","32.62","34.48","0.057","否"
"	02899","2026-03-12","HK","左侧","90.0","37.42","38.08","0.0176","否"
"","","","","","","","",""
"	03690","2025-05-09","HK","左侧","70.0","145.0","147.6","0.0179","否"
"	03690","2025-06-17","HK","左侧","70.0","137.0","137.1","0.0007","否"
"	03690","2025-08-08","HK","左侧","70.0","121.1","127.0","0.0487","否"
"	03690","2025-09-24","HK","左侧","70.0","101.6","107.8","0.061","否"
"	03690","2025-11-07","HK","左侧","70.0","102.0","105.2","0.0314","否"
"","","","","","","","",""
"	03750","2025-06-16","HK","左侧","90.0","309.4","395.0","0.2767","是"
"	03750","2025-08-15","HK","左侧","70.0","417.0","443.0","0.0624","否"
"","","","","","","","",""
"	09988","2025-04-01","HK","左侧","70.0","129.0","132.0","0.0233","否"
"	09988","2025-10-16","HK","左侧","70.0","161.0","175.0","0.087","否"
