"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	603067","2023-02-27","CN","左侧","70.0","15.12","15.3","0.0119","否"
"	603519","2023-02-28","CN","左侧","70.0","12.46","12.76","0.0241","否"
"	688291","2023-02-28","CN","左侧","70.0","30.07","31.95","0.0625","否"
"	000767","2023-03-01","CN","左侧","70.0","3.37","3.44","0.0208","否"
"	002155","2023-03-02","CN","左侧","70.0","17.01","17.9","0.0523","否"
"	603068","2023-03-02","CN","左侧","70.0","33.6","35.2","0.0476","否"
"	603486","2023-03-03","CN","左侧","90.0","89.75","90.42","0.0075","否"
"	600838","2023-03-03","CN","右侧","75.0","6.87","7.04","0.0247","否"
"	603380","2023-03-03","CN","左侧","75.0","29.59","30.0","0.0139","否"
"	605006","2023-03-03","CN","左侧","70.0","9.14","9.17","0.0033","否"
"	002025","2023-03-06","CN","右侧","85.0","66.98","67.5","0.0078","否"
"	002173","2023-03-06","CN","左侧","70.0","7.39","7.47","0.0108","否"
"	002402","2023-03-07","CN","右侧","100.0","17.0","17.94","0.0553","否"
"	002624","2023-03-07","CN","左侧","75.0","14.2","20.05","0.412","是"
"	300048","2023-03-07","CN","左侧","70.0","5.61","5.72","0.0196","否"
"	002153","2023-03-08","CN","左侧","70.0","16.61","28.23","0.6996","是"
"	002310","2023-03-08","CN","左侧","70.0","2.12","2.15","0.0142","否"
"	002603","2023-03-09","CN","左侧","90.0","28.93","32.18","0.1123","是"
"	301008","2023-03-09","CN","右侧","75.0","26.54","28.3","0.0663","否"
"	600089","2023-03-09","CN","左侧","70.0","21.11","22.75","0.0777","否"
"	002230","2023-03-09","CN","左侧","90.0","47.6","70.1","0.4727","是"
"	300398","2023-03-09","CN","右侧","85.0","19.62","22.65","0.1544","是"
"	600999","2023-03-09","CN","左侧","75.0","13.85","14.28","0.031","否"
"	601330","2023-03-09","CN","右侧","75.0","7.26","7.63","0.051","否"
"	603738","2023-03-10","CN","左侧","70.0","25.29","29.2","0.1546","是"
"	002759","2023-03-10","CN","左侧","75.0","17.97","18.1","0.0072","否"
"	000735","2023-03-10","CN","左侧","70.0","7.43","8.54","0.1494","是"
"	603337","2023-03-10","CN","左侧","70.0","21.0","22.02","0.0486","否"
"	600570","2023-03-13","CN","右侧","90.0","46.99","59.1","0.2577","是"
"	600988","2023-03-13","CN","右侧","85.0","19.9","21.43","0.0769","否"
"	000997","2023-03-13","CN","右侧","75.0","16.48","17.71","0.0746","否"
"	002519","2023-03-13","CN","左侧","70.0","5.33","5.67","0.0638","否"
"	002100","2023-03-14","CN","右侧","85.0","8.99","10.33","0.1491","是"
"	002959","2023-03-15","CN","左侧","90.0","66.47","74.5","0.1208","是"
"	600343","2023-03-15","CN","左侧","70.0","10.51","10.6","0.0086","否"
"	600703","2023-03-16","CN","右侧","90.0","19.6","23.61","0.2046","是"
"	002413","2023-03-16","CN","左侧","70.0","5.19","5.38","0.0366","否"
"	002940","2023-03-17","CN","右侧","90.0","35.71","36.89","0.033","否"
"	300223","2023-03-17","CN","右侧","90.0","78.32","119.88","0.5306","是"
"	600893","2023-03-17","CN","左侧","70.0","44.99","47.13","0.0476","否"
"	688183","2023-03-17","CN","右侧","75.0","11.31","13.74","0.2149","是"
"	603228","2023-03-20","CN","右侧","75.0","24.4","27.34","0.1205","是"
"	603496","2023-03-22","CN","左侧","90.0","18.59","22.18","0.1931","是"
"	601231","2023-03-22","CN","右侧","85.0","16.59","19.08","0.1501","是"
"	000636","2023-03-23","CN","右侧","75.0","17.65","19.88","0.1263","是"
"	000558","2023-03-24","CN","右侧","75.0","2.85","3.04","0.0667","否"
"	002309","2023-03-27","CN","右侧","85.0","5.39","5.48","0.0167","否"
"	603629","2023-03-28","CN","右侧","100.0","18.3","19.27","0.053","否"
"	601868","2023-03-28","CN","左侧","70.0","2.42","2.8","0.157","是"
"	603256","2023-03-29","CN","左侧","90.0","8.13","8.22","0.0111","否"
"	600550","2023-03-29","CN","左侧","70.0","5.13","5.15","0.0039","否"
"	000670","2023-03-31","CN","左侧","70.0","8.55","9.13","0.0678","否"
"	000977","2023-03-31","CN","左侧","70.0","35.08","48.77","0.3903","是"
"	600998","2023-03-31","CN","左侧","70.0","14.9","17.14","0.1503","是"
"	002320","2023-03-31","CN","右侧","85.0","6.49","7.72","0.1895","是"
"	603933","2023-03-31","CN","右侧","90.0","12.8","13.31","0.0398","否"
"	002364","2023-04-03","CN","右侧","85.0","8.13","8.65","0.064","否"
"	002625","2023-04-03","CN","右侧","75.0","17.05","17.95","0.0528","否"
"	600900","2023-04-03","CN","左侧","90.0","21.09","22.56","0.0697","否"
"	000089","2023-04-03","CN","右侧","75.0","7.42","7.64","0.0296","否"
"	605006","2023-04-03","CN","右侧","85.0","9.06","9.12","0.0066","否"
"	002549","2023-04-06","CN","右侧","85.0","15.64","16.05","0.0262","否"
"	000547","2023-04-06","CN","左侧","75.0","11.79","11.81","0.0017","否"
"	002518","2023-04-06","CN","右侧","75.0","46.44","50.36","0.0844","否"
"	688291","2023-04-06","CN","右侧","100.0","29.5","33.39","0.1319","是"
"	002202","2023-04-07","CN","左侧","70.0","11.02","11.44","0.0381","否"
