code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
601628,2024-06-03,CN,左侧,55.0,31.58,32.01,0.0136,False
601628,2024-06-06,CN,左侧,50.0,31.21,32.0,0.0253,False
002028,2024-06-11,CN,左侧,55.0,72.3,74.0,0.0235,False
002028,2024-06-12,CN,左侧,35.0,71.66,74.0,0.0327,False
603979,2024-07-08,CN,左侧,55.0,51.55,52.98,0.0277,False
603979,2024-07-09,CN,左侧,55.0,52.54,52.98,0.0084,False
601628,2024-07-31,CN,右侧,35.0,32.2,33.02,0.0255,False
002028,2024-08-02,CN,左侧,70.0,64.72,69.17,0.0688,False
601628,2024-08-05,CN,右侧,50.0,32.32,34.5,0.0675,False
002028,2024-08-06,CN,左侧,70.0,63.76,69.17,0.0848,False
601628,2024-08-30,CN,右侧,50.0,33.38,48.4,0.45,True
002028,2024-08-30,CN,右侧,75.0,65.52,80.71,0.2318,True
601628,2024-09-02,CN,右侧,50.0,34.17,48.4,0.4164,True
002028,2024-09-03,CN,右侧,75.0,67.93,80.71,0.1881,True
002028,2024-09-10,CN,左侧,55.0,66.18,80.71,0.2196,True
603979,2024-09-20,CN,右侧,75.0,42.02,53.61,0.2758,True
601628,2024-09-24,CN,右侧,50.0,36.8,48.4,0.3152,True
002028,2024-09-24,CN,右侧,50.0,67.55,80.71,0.1948,True
603979,2024-09-24,CN,右侧,50.0,43.6,53.61,0.2296,True
601628,2024-09-25,CN,右侧,50.0,38.1,48.4,0.2703,True
002028,2024-09-25,CN,右侧,50.0,68.62,80.71,0.1762,True
601628,2024-09-26,CN,右侧,60.0,39.23,48.4,0.2337,True
002028,2024-09-26,CN,右侧,60.0,68.57,80.71,0.177,True
002028,2024-09-27,CN,右侧,60.0,69.71,80.71,0.1578,True
601628,2024-09-30,CN,右侧,60.0,44.0,48.4,0.1,False
002028,2024-09-30,CN,右侧,60.0,73.9,80.71,0.0922,False
603979,2024-09-30,CN,右侧,60.0,50.06,53.61,0.0709,False
601628,2024-10-08,CN,右侧,60.0,48.4,47.9,-0.0103,False
002028,2024-10-08,CN,右侧,60.0,73.24,81.1,0.1073,True
603979,2024-10-08,CN,右侧,60.0,47.36,46.27,-0.023,False
601628,2024-10-09,CN,右侧,60.0,43.56,45.98,0.0556,False
002028,2024-10-09,CN,右侧,60.0,74.24,81.1,0.0924,False
603979,2024-10-09,CN,右侧,60.0,42.62,46.27,0.0856,False
601628,2024-10-10,CN,右侧,60.0,43.95,49.1,0.1172,True
603979,2024-10-10,CN,右侧,60.0,43.57,46.17,0.0597,False
603979,2024-10-14,CN,右侧,50.0,45.2,45.08,-0.0027,False
601628,2024-11-07,CN,右侧,50.0,49.1,50.88,0.0363,False
601628,2024-11-08,CN,右侧,50.0,48.95,48.4,-0.0112,False
601628,2024-11-20,CN,左侧,90.0,44.18,46.4,0.0502,False
002028,2024-11-20,CN,左侧,70.0,76.12,80.25,0.0543,False
601628,2024-11-21,CN,左侧,90.0,44.39,46.4,0.0453,False
002028,2024-11-28,CN,左侧,35.0,75.93,80.25,0.0569,False
601628,2024-12-19,CN,左侧,70.0,41.77,43.23,0.035,False
002028,2025-01-10,CN,左侧,90.0,71.84,81.81,0.1388,True
603979,2025-01-13,CN,右侧,50.0,40.99,43.06,0.0505,False
002028,2025-01-15,CN,左侧,35.0,70.92,81.81,0.1536,True
002028,2025-01-20,CN,右侧,50.0,76.59,81.81,0.0682,False
002028,2025-02-05,CN,右侧,50.0,76.18,79.81,0.0477,False
603979,2025-02-10,CN,右侧,35.0,41.6,43.06,0.0351,False
603979,2025-02-20,CN,左侧,35.0,40.16,49.02,0.2206,True
603979,2025-03-06,CN,右侧,75.0,40.6,49.02,0.2074,True
603979,2025-03-12,CN,右侧,50.0,43.2,49.02,0.1347,True
603979,2025-03-13,CN,右侧,60.0,44.75,49.02,0.0954,False
601628,2025-03-19,CN,左侧,75.0,39.18,39.2,0.0005,False
603979,2025-03-20,CN,右侧,50.0,46.78,47.83,0.0224,False
002028,2025-03-25,CN,右侧,35.0,76.38,77.88,0.0196,False
002028,2025-04-21,CN,右侧,75.0,74.39,77.27,0.0387,False
601628,2025-05-14,CN,右侧,60.0,39.97,42.09,0.053,False
603979,2025-05-20,CN,右侧,45.0,39.47,44.95,0.1388,True
002028,2025-05-21,CN,左侧,70.0,74.6,77.46,0.0383,False
603979,2025-05-26,CN,右侧,50.0,41.69,44.95,0.0782,False
002028,2025-05-30,CN,左侧,75.0,72.03,75.19,0.0439,False
002028,2025-06-03,CN,左侧,75.0,71.69,75.19,0.0488,False
603979,2025-06-11,CN,右侧,50.0,43.22,49.16,0.1374,True
601628,2025-06-12,CN,右侧,50.0,41.0,42.64,0.04,False
601628,2025-06-24,CN,右侧,50.0,41.45,42.64,0.0287,False
002028,2025-06-24,CN,右侧,75.0,73.93,82.98,0.1224,True
601628,2025-06-25,CN,右侧,50.0,42.43,42.64,0.0049,False
